Crop_Name,Category,Avg_Harvest_Days,Market_Demand,Home_Growable,Health_Benefit,Intercropping_Possibility
Organic French Bean,Vegetable,115,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Okra,Vegetable,79,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bay Leaf,Vegetable,114,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bitter Gourd,Vegetable,64,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Mulberry,Fruit,301,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Coffee,Cash/Plantation,448,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Cowpea,Pulse,87,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Apple,Fruit,261,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Mulberry,Fruit,256,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Okra,Vegetable,109,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cotton,Cash/Plantation,480,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Horse Gram,Vegetable,51,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Coriander,Herb/Medicinal,51,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Finger Millet,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Mint,Herb/Medicinal,36,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mulberry,Fruit,242,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cinnamon,Spice,243,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Tulsi,Herb/Medicinal,82,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Banana,Fruit,271,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Parsley,Herb/Medicinal,48,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Black Pepper,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Maize,Grain,101,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Sesame,Oilseed,100,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Early-Maturing Ridge Gourd,Vegetable,60,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Mustard Seed,Vegetable,93,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mustard Seed,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Turmeric,Spice,274,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Groundnut,Oilseed,132,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Local Soybean,Oilseed,109,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Hybrid Pineapple,Fruit,128,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Basil,Herb/Medicinal,35,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Lettuce,Vegetable,95,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Cabbage,Vegetable,50,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Cowpea,Pulse,117,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Mango,Fruit,305,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Peas,Vegetable,105,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mango,Fruit,92,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Tomato,Vegetable,100,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Mint,Herb/Medicinal,121,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Spinach,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cinnamon,Spice,267,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Orange,Fruit,174,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Lime,Fruit,225,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Apple,Fruit,120,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Organic Black Gram,Vegetable,62,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Banana,Fruit,315,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Tomato,Vegetable,63,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Pomegranate,Fruit,293,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Lemongrass,Herb/Medicinal,106,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cinnamon,Spice,221,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Pearl Millet,Vegetable,94,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Peas,Vegetable,93,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Horse Gram,Vegetable,66,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Carrot,Vegetable,67,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Fenugreek,Vegetable,61,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Saffron,Spice,150,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
French Bean,Vegetable,96,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tea,Cash/Plantation,315,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
High-Yield Aloe Vera,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Turmeric,Spice,131,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cucumber,Vegetable,95,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Mango,Fruit,142,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Mustard Seed,Vegetable,51,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Sesame,Oilseed,139,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Fenugreek Seed,Vegetable,64,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Ridge Gourd,Vegetable,72,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Garlic,Spice,193,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Local Grapes,Fruit,216,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Tomato,Vegetable,52,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Radish,Vegetable,100,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Turmeric,Spice,279,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Early-Maturing Pomegranate,Fruit,90,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Grapes,Fruit,102,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Oats,Grain,101,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Local Okra,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mustard,Oilseed,148,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Custard Apple,Fruit,94,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Coriander Seed,Vegetable,117,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Rice,Grain,103,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Jute,Cash/Plantation,350,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Hybrid Cocoa,Cash/Plantation,482,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Snake Gourd,Vegetable,99,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Mint,Herb/Medicinal,59,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mango,Fruit,155,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Snake Gourd,Vegetable,61,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Rice,Grain,98,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Cumin,Spice,287,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Clove,Spice,175,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Peas,Vegetable,104,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Tomato,Vegetable,119,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Parsley,Herb/Medicinal,156,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Lettuce,Vegetable,110,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Fenugreek Seed,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lettuce,Vegetable,59,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cumin,Spice,266,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Pomegranate,Fruit,228,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
